Name,Power,W/m2,Diameter,hub height [m],Noise @ 3m/s [dB],Noise @ 4m/s [dB],Noise @ 5m/s [dB],Noise @ 6m/s [dB],Noise @ 7m/s [dB],Noise @ 8m/s [dB],Noise @ 9m/s [dB],Noise @ 10m/s [dB],Noise @ 11m/s [dB],Noise @ 12m/s [dB],Valid,Company,Variant,Sec. power,Def. hub height,Edit date
,,,,,wind speed at 10m,,,,,,,,,,,,,,,
ENERCON E-53 800 53.0 !-!,800,362.6,53,60,,92,"93,7","97,2","99,7","101,3","102,5","102,5",,,Yes,ENERCON,E-53,,73.3,16.06.2017
ENERCON E-53 800 53.0 !-!,800,362.6,53,73.3,,"92,5","94,2","97,7","100,1","101,5","102,5","102,5",,,Yes,ENERCON,E-53,,73.3,16.06.2017
ENERCON E-53 800 53.0 !-!,800,362.6,53,75,,"92,8","94,5","97,9","100,3","101,8","102,5","102,5",,,Yes,ENERCON,E-53,,73.3,16.06.2017
ENERCON E-70 E4 2000 71.0 !O!,2 000,505.2,71,,,,,,,,,,,,No,ENERCON,E-70 E4,,64,13.01.2015
ENERCON E-82 2000 82.0 !O!,2 000,378.7,82,,,,,,,,,,,,No,ENERCON,E-82,,78.3,13.01.2015
ENERCON E-82 E3 3000 82.0 !O!,3 000,568.1,82,78.3,,,97.8,101.7,104.8,106.0,106.0,106.0,,,Yes,ENERCON,E-82 E3,,84.6,16.06.2017
ENERCON E-82 E3 3000 82.0 !O!,3 000,568.1,"82,00",84.6,,,98.0,102.0,105.0,106.0,106.0,106.0,,,Yes,ENERCON,E-82 E3,,84.6,"42 902,00"
ENERCON E-82 E3 3000 82.0 !O!,3 000,568.1,"82,00",98.4,,,98.4,102.4,105.3,106.0,106.0,106.0,,,Yes,ENERCON,E-82 E3,,84.6,"42 902,00"
ENERCON E-82 E3 3000 82.0 !O!,3 000,568.1,"82,00",108.4,,,98.7,102.7,105.5,106.0,106.0,106.0,,,Yes,ENERCON,E-82 E3,,84.6,"42 902,00"
ENERCON E-82 E3 3000 82.0 !O!,3 000,568.1,"82,00",138.4,,,99.2,103.4,105.7,106.0,106.0,106.0,,,Yes,ENERCON,E-82 E3,,84.6,"42 902,00"
ENERCON E-92 2.3 MW 2300 92.0 !-!,2 300,346,92,,,,,,,,,,,,No,ENERCON,E-92 2.3 MW,,98.4,14.01.2015
ENERCON E-92 2.3 MW 2350 92.0 !-!,2 350,353.5,92,,,,,,,,,,,,Yes,ENERCON,E-92 2.3 MW,,98.4,16.06.2017
GE WIND ENERGY 2.85 DFIG-103 2850 103.0 !O!,2 850,342,103,,,,,,,,,,,,Yes,GE WIND ENERGY,2.85 DFIG-103,,85,29.07.2016
GE WIND ENERGY GE 1.6 1600 100.0 !O!,1 600,203.7,100,,,,,,,,,,,,No,GE WIND ENERGY,GE 1.6,,80,17.12.2014
GE WIND ENERGY GE 2.5xl 2500 100.0 !O!,2 500,318.3,100,,,,,,,,,,,,No,GE WIND ENERGY,GE 2.5xl,,85,19.12.2011
GE WIND ENERGY GE 2.75-103 2750 103.0 !O!,2 750,330,103,,,,,,,,,,,,No,GE WIND ENERGY,GE 2.75-103,,85,30.11.2016
GE WIND ENERGY GE 3.2-103 3200 103.2 !O!,3 200,382.6,103.2,,,,,,,,,,,,Yes,GE WIND ENERGY,GE 3.2-103,,70,28.07.2016
REpower 3.2M114 3200 114.0 !O!,3 200,313.5,114,,,,,,,,,,,,No,REpower,3.2M114,,93,10.03.2014
REpower 3.4M104 3400 104.0 !O!,3 400,400.2,104,,,,,,,,,,,,No,REpower,3.4M104,,78,10.03.2014
REpower MM 82 2000 82.0 !-!,2 000,378.7,82,,,,,,,,,,,,No,REpower,MM 82,,80,10.03.2014
SENVION 3.2M114 3200 114.0 !O!,3 200,313.5,114,91.0,95.4,97.8,101.5,104.1,104.2,104.1,103.8,,,,Yes,SENVION,3.2M114,,93,19.01.2017
