Name,Power,W/m2,Diameter,hub height [m],Noise @ 3m/s [dB],Noise @ 4m/s [dB],Noise @ 5m/s [dB],Noise @ 6m/s [dB],Noise @ 7m/s [dB],Noise @ 8m/s [dB],Noise @ 9m/s [dB],Noise @ 10m/s [dB],Noise @ 11m/s [dB],Noise @ 12m/s [dB],Valid,Company,Variant,Sec. power,Def. hub height,Edit date
,,,,,wind speed at 10m,,,,,,,,,,,,,,,
SENVION 3.2M122 NES 3200 122.0 !O!,3 200,273.7,122,119.0,95.9,99.4,104.3,105.5,105.5,105.1,104.8,104.6,,,Yes,SENVION,3.2M122 NES,,139,19.01.2017
SENVION 3.2M122 NES 3200 122.0 !O!,3 200,273.7,122,139.0,96.1,99.8,104.7,105.5,105.5,105.0,104.8,104.6,,,Yes,SENVION,3.2M122 NES,,139,19.01.2017
Siemens SWT-2.3-120 2300 120.0 !O!,2 300,203.4,120,,,,,,,,,,,,Yes,Siemens,SWT-2.3-120,,92,28.07.2016
Siemens SWT-2.5-120 2500 120.0 !O!,2 500,221,120,,,,,,,,,,,,Yes,Siemens,SWT-2.5-120,,85.1,27.09.2016
VESTAS V126-3.3 GridStreame 3300 126.0 !O!,3 300,264.7,126,117.0,94.7,98.6,103.0,106.7,107.4,107.5,107.5,107.5,107.5,107.5,Yes,VESTAS,V126-3.3 GridStreame,,117,17.08.2016
VESTAS V126-3.3 GridStreame 3300 126.0 !O!,3 300,264.7,126,137.0,95.0,99.2,103.6,107.0,107.3,107.5,107.5,107.5,107.5,107.5,Yes,VESTAS,V126-3.3 GridStreame,,117,17.08.2016
VESTAS V52 850 52.0 !O!,850,400.2,52,,,,,,,,,,,,No,VESTAS,V52,,49,23.03.2021
VESTAS V80-2.0MW 2000 80.0 !O!,2 000,397.9,80,,,,,,,,,,,,No,VESTAS,V80-2.0MW,,78,23.03.2021
e.n.o. e.n.o. 126 3500 126.0 !O!,3 500,280.7,126,,,,,,,,,,,,No,e.n.o.,e.n.o. 126,,117,21.05.2014
eno eno 92 2.2 2200 92.8 !O!,2 200,325.3,92.8,,,,,,,,,,,,No,eno,eno 92 2.2,,103,18.02.2021
